date,time,strategy,symbol,price,under_before,under_after,under_inc,under_pct,consecutive
2026-07-14,10:34:19,小口売り連続/WATCH,6620,743.0,,,,,5
2026-07-14,10:38:27,UNDER急増,3747,428.0,36800,67000,30200,82.1,
2026-07-14,10:41:32,小口売り連続/WATCH,9229,149.0,,,,,5
2026-07-14,10:44:19,小口売り連続/WATCH,7071,376.0,,,,,5
2026-07-14,10:47:29,小口売り連続/WATCH,4176,260.0,,,,,5
2026-07-14,10:54:34,UNDER急増,9327,210.0,9000,13400,4400,48.9,
2026-07-14,10:55:51,UNDER急増,9327,206.0,7300,11800,4500,61.6,
2026-07-14,10:59:17,小口売り連続/WATCH,4446,827.0,,,,,5
2026-07-14,11:06:40,小口売り連続/WATCH,4570,982.0,,,,,5
2026-07-14,11:07:38,UNDER急増,5591,825.0,15900,27100,11200,70.4,
2026-07-14,11:10:56,小口売り連続/WATCH,6228,513.0,,,,,5
2026-07-14,11:11:37,小口売り連続/WATCH,4575,751.0,,,,,5
2026-07-14,11:12:59,小口売り連続/WATCH,3686,72.0,,,,,5
2026-07-14,11:15:27,小口売り連続/WATCH,7071,373.0,,,,,5
2026-07-14,11:21:38,小口売り連続/WATCH,3747,432.0,,,,,5
2026-07-14,11:22:04,小口売り連続/STRONG,6228,511.0,,,,,10
2026-07-14,11:23:53,小口売り連続/WATCH,7071,372.0,,,,,5
2026-07-14,11:29:18,小口売り連続/WATCH,3686,72.0,,,,,5
2026-07-14,11:30:02,小口売り連続/WATCH,4446,824.0,,,,,5
2026-07-14,12:17:25,UNDER急増,4840,615.0,3900,5400,1500,38.5,
2026-07-14,12:25:37,UNDER急増,5817,842.0,14700,18100,3400,23.1,
2026-07-14,12:26:44,UNDER急増,4176,259.0,30000,39100,9100,30.3,
2026-07-14,12:28:05,UNDER急増,4840,615.0,6100,7900,1800,29.5,
2026-07-14,12:29:44,UNDER急増,6228,509.0,24700,30900,6200,25.1,
2026-07-14,12:31:00,UNDER急増,9130,1438.0,17400,25900,8500,48.9,
2026-07-14,12:32:03,UNDER急増,5599,1106.0,16100,25900,9800,60.9,
2026-07-14,12:33:08,小口売り連続/WATCH,7071,371.0,,,,,5
2026-07-14,12:45:12,UNDER急増,7602,156.0,57600,70300,12700,22.0,
2026-07-14,12:53:45,小口売り連続/WATCH,7352,443.0,,,,,5
2026-07-14,13:05:36,小口売り連続/WATCH,7071,376.0,,,,,5
2026-07-14,13:10:49,小口売り連続/WATCH,3686,72.0,,,,,5
2026-07-14,13:13:46,小口売り連続/WATCH,7071,376.0,,,,,5
2026-07-14,13:25:05,小口売り連続/WATCH,4418,852.0,,,,,5
2026-07-14,13:25:07,小口売り連続/WATCH,7071,376.0,,,,,5
2026-07-14,13:30:35,小口売り連続/WATCH,4165,603.0,,,,,5
2026-07-14,13:35:32,UNDER急増,4840,620.0,6600,17100,10500,159.1,
2026-07-14,13:37:30,小口売り連続/WATCH,4165,603.0,,,,,5
2026-07-14,14:00:53,小口売り連続/WATCH,9229,149.0,,,,,5
2026-07-14,14:03:12,小口売り連続/WATCH,7071,375.0,,,,,5
2026-07-14,14:14:26,小口売り連続/WATCH,4418,914.0,,,,,5
2026-07-14,14:17:31,小口売り連続/WATCH,3686,72.0,,,,,5
2026-07-14,14:20:35,小口売り連続/WATCH,4418,904.0,,,,,5
2026-07-14,14:28:32,小口売り連続/WATCH,4418,897.0,,,,,5
2026-07-14,14:32:32,小口売り連続/WATCH,4418,908.0,,,,,5
2026-07-14,14:36:48,小口売り連続/WATCH,3747,437.0,,,,,5
2026-07-14,14:40:39,小口売り連続/WATCH,7071,375.0,,,,,5
2026-07-14,14:56:09,小口売り連続/WATCH,3323,74.0,,,,,5
2026-07-14,14:57:07,UNDER急増,8798,130.0,45400,65400,20000,44.1,
2026-07-14,14:59:54,小口売り連続/WATCH,4446,829.0,,,,,5
2026-07-14,15:00:09,小口売り連続/WATCH,5597,1365.0,,,,,5
2026-07-14,15:01:23,小口売り連続/WATCH,3686,72.0,,,,,5
2026-07-14,15:08:49,小口売り連続/WATCH,7071,373.0,,,,,5
2026-07-14,15:09:42,小口売り連続/WATCH,4176,263.0,,,,,5
2026-07-14,15:10:15,小口売り連続/STRONG,3686,72.0,,,,,10
2026-07-14,15:12:40,小口売り連続/WATCH,7071,373.0,,,,,5
2026-07-14,15:15:51,小口売り連続/WATCH,7071,373.0,,,,,5
2026-07-14,15:16:22,小口売り連続/WATCH,6495,131.0,,,,,5
2026-07-14,15:22:34,小口売り連続/WATCH,3686,72.0,,,,,5
2026-07-14,15:23:40,小口売り連続/STRONG,3686,72.0,,,,,10
2026-07-14,15:23:52,小口売り連続/WATCH,4446,827.0,,,,,5
2026-07-14,15:24:59,小口売り連続/WATCH,2998,535.0,,,,,5
2026-07-14,15:27:08,UNDER急増,6620,721.0,45300,56200,10900,24.1,
2026-07-14,15:28:43,UNDER急増,6620,721.0,45300,56200,10900,24.1,
2026-07-15,09:01:01,UNDER急増,5724,2411.0,22800,28400,5600,24.6,
2026-07-15,09:01:02,UNDER急増,5137,225.0,93900,212300,118400,126.1,
2026-07-15,09:01:17,UNDER急増,4165,585.0,114100,158100,44000,38.6,
2026-07-15,09:01:25,UNDER急増,3747,435.0,32100,60500,28400,88.5,
2026-07-15,09:01:31,UNDER急増,9115,832.0,10600,21700,11100,104.7,
2026-07-15,09:01:35,UNDER急増,5591,835.0,16400,27400,11000,67.1,
2026-07-15,09:01:46,UNDER急増,5031,338.0,37500,94300,56800,151.5,
2026-07-15,09:01:47,UNDER急増,5597,1365.0,27700,34200,6500,23.5,
2026-07-15,09:01:58,UNDER急増,5132,1946.0,8900,18000,9100,102.2,
2026-07-15,09:02:24,UNDER急増,5892,2078.0,20400,25700,5300,26.0,
2026-07-15,09:03:01,UNDER急増,4575,755.0,68100,102300,34200,50.2,
2026-07-15,09:03:02,UNDER急増,5031,340.0,37500,94300,56800,151.5,
2026-07-15,09:03:17,UNDER急増,5132,1936.0,12400,15000,2600,21.0,
2026-07-15,09:04:01,UNDER急増,5707,850.0,100100,130400,30300,30.3,
2026-07-15,09:04:06,UNDER急増,9327,217.0,31500,37900,6400,20.3,
2026-07-15,09:05:02,UNDER急増,5707,853.0,95800,127600,31800,33.2,
2026-07-15,09:06:11,UNDER急増,4840,629.0,12300,22100,9800,79.7,
2026-07-15,09:08:25,UNDER急増,3963,345.0,20600,73000,52400,254.4,
2026-07-15,09:11:10,UNDER急増,4075,894.0,10300,18900,8600,83.5,
2026-07-15,09:11:44,UNDER急増,4840,629.0,12300,22100,9800,79.7,
2026-07-15,09:12:05,小口売り連続/WATCH,9229,151.0,,,,,5
2026-07-15,09:14:05,UNDER急増,4446,809.0,59100,73900,14800,25.0,
2026-07-15,09:14:35,小口売り連続/WATCH,4075,887.0,,,,,5
2026-07-15,09:15:14,UNDER急増,4840,629.0,12300,22100,9800,79.7,
2026-07-15,09:18:24,UNDER急増,4488,2141.0,9200,14900,5700,62.0,
2026-07-15,09:20:19,UNDER急増,4840,629.0,12300,22100,9800,79.7,
2026-07-15,09:22:32,UNDER急増,6228,520.0,35500,57700,22200,62.5,
2026-07-15,09:26:04,UNDER急増,4446,802.0,57600,75000,17400,30.2,
2026-07-15,09:27:44,小口売り連続/WATCH,5724,2418.0,,,,,5
2026-07-15,09:29:57,小口売り連続/WATCH,4894,4675.0,,,,,5
2026-07-15,09:30:53,小口売り連続/WATCH,3692,5360.0,,,,,5
2026-07-15,09:37:28,UNDER急増,2321,141.0,73100,185100,112000,153.2,
2026-07-15,09:38:34,小口売り連続/WATCH,4894,4645.0,,,,,5
2026-07-15,09:38:55,小口売り連続/WATCH,3686,72.0,,,,,5
2026-07-15,09:44:06,小口売り連続/WATCH,9130,1448.0,,,,,5
2026-07-15,09:44:47,UNDER急増,5588,751.0,11300,27700,16400,145.1,
2026-07-15,09:45:52,UNDER急増,5588,746.0,13400,26200,12800,95.5,
2026-07-15,09:49:21,小口売り連続/WATCH,3686,72.0,,,,,5
2026-07-15,09:49:53,UNDER急増,4446,795.0,51100,65900,14800,29.0,
