date,entry_time,exit_time,strategy,symbol,trigger,entry_px,exit_px,pct,exit_reason,sl_pct,tp_pct
2026-08-19,13:53:12,15:30:00,AI午後引け戻り,4570,UNDER急増,999.0,1000.0,0.1,大引け,-2.0,2.0
2026-08-19,13:56:32,15:30:00,AI午後引け戻り,1885,UNDER急増,1980.0,1998.0,0.91,大引け,-2.0,2.0
2026-08-19,13:56:32,15:30:00,AI複合シグナル,1885,小口売り連続+UNDER急増,1980.0,1998.0,0.91,大引け,-1.0,1.0
2026-08-19,14:00:09,15:30:00,AI午後引け戻り(順位優先),4570,UNDER急増,1001.0,1000.0,-0.1,大引け,-2.0,2.0
2026-08-19,14:44:07,15:30:00,AI午後引け戻り(順位優先),1885,UNDER急増,1981.0,1998.0,0.86,大引け,-2.0,2.0
2026-08-19,14:47:07,15:30:01,AI午後引け戻り(順位優先),6580,UNDER急増,834.0,849.0,1.8,大引け,-2.0,2.0
2026-08-19,14:48:41,15:18:00,AI複合シグナル,6433,小口売り連続+UNDER急増,997.0,987.0,-1.0,損切り,-1.0,1.0
2026-08-19,14:48:41,15:30:01,AI午後引け戻り,6433,UNDER急増,997.0,992.0,-0.5,大引け,-2.0,2.0
2026-08-19,14:48:41,15:30:01,AI午後引け戻り(順位優先),6433,UNDER急増,997.0,992.0,-0.5,大引け,-2.0,2.0
2026-08-20,11:18:50,13:10:17,AI投げ売り反発,4579,投げ売り,579.0,573.0,-1.04,損切り,-1.0,2.0
2026-08-20,11:18:50,15:30:00,AI投げ売り反発(幅広),4579,投げ売り,579.0,586.0,1.21,大引け,-1.5,3.0
2026-08-20,13:20:45,15:30:00,AI午後引け戻り,4378,UNDER急増,500.0,502.0,0.4,大引け,-2.0,2.0
2026-08-20,13:28:49,14:28:00,AI複合シグナル,9238,小口売り連続+UNDER急増,382.0,387.0,1.31,利確,-1.0,1.0
2026-08-20,14:12:54,14:32:47,AI午後引け戻り,6217,UNDER急増,818.0,835.0,2.08,利確,-2.0,2.0
2026-08-20,14:12:54,14:32:47,AI午後引け戻り(順位優先),6217,UNDER急増,818.0,835.0,2.08,利確,-2.0,2.0
2026-08-21,13:00:28,15:30:01,AI午後引け戻り,5599,UNDER急増,991.0,991.0,0.0,大引け,-2.0,2.0
2026-08-21,13:40:40,14:17:47,AI午後引け戻り,9256,UNDER急増,1120.0,1143.0,2.05,利確,-2.0,2.0
